Complexity metrics,Sat, 24 Nov 2018 00:09:38 IST,
Method,ev(G),iv(G),v(G)
Dealer.Mapping(View),1,1,1
Dealer.Project(View),1,1,1
Dealer.ViewAnalytics(View),1,1,1
Dealer.ViewOrders(View),1,1,1
Dealer.ViewProfile(View),1,1,1
Dealer.ViewStock(View),1,1,1
Dealer.onBackPressed(),2,2,2
Dealer.onCreate(Bundle),1,3,3
DealerAnalytics.onCreate(Bundle),1,1,1
DealerExecutive.onCreate(Bundle),1,4,4
DealerProjectGoods.onCreate(Bundle),1,4,4
DealerViewOrders.onCreate(Bundle),1,3,3
DealerViewProfile.disable(),1,1,1
DealerViewProfile.enable(),1,1,1
DealerViewProfile.onCreate(Bundle),1,3,3
DealerViewStock.onCreate(Bundle),1,1,1
ExampleInstrumentedTest.useAppContext(),1,1,1
ExampleUnitTest.addition_isCorrect(),1,1,1
"Login.login(String,String)",1,7,7
Login.onCreate(Bundle),1,3,3
Salesman.Location(View),1,1,1
Salesman.SalesmanPlaceOrder(View),1,1,1
Salesman.SalesmanViewProfile(View),1,1,1
Salesman.ViewPlacedOrders(View),1,1,1
Salesman.onBackPressed(),2,2,2
Salesman.onCreate(Bundle),1,7,7
Salesman.requestPermission(),1,1,1
SalesmanPlaceOrders.onCreate(Bundle),1,3,3
SalesmanPlaceOrders.total(),1,1,1
SalesmanViewPlacedOrders.onCreate(Bundle),1,3,3
SalesmanViewProfile.disable(),1,1,1
SalesmanViewProfile.enable(),1,1,1
SalesmanViewProfile.onCreate(Bundle),1,3,3
SignUp.check(EditText[]),3,3,3
SignUp.onCreate(Bundle),1,5,5
SubDealer.PlaceOrder(View),1,1,1
SubDealer.Retail(View),1,1,1
SubDealer.SubMapping(View),1,1,1
SubDealer.SubViewOrder(View),1,1,1
SubDealer.SubViewStock(View),1,1,1
SubDealer.ViewPro(View),1,1,1
SubDealer.onBackPressed(),2,2,2
SubDealer.onCreate(Bundle),1,3,3
SubDealerMapping.onCreate(Bundle),1,4,4
SubDealerPlaceOrder.onCreate(Bundle),1,3,3
SubDealerPlaceOrder.total(),1,1,1
SubDealerRetailGoods.onCreate(Bundle),1,4,4
SubDealerViewOrder.onCreate(Bundle),1,3,3
SubDealerViewProfile.disable(),1,1,1
SubDealerViewProfile.enable(),1,1,1
SubDealerViewProfile.onCreate(Bundle),1,3,3
SubDealerViewStock.onCreate(Bundle),1,1,1
,,,
Class,OCavg,WMC,
Dealer,1.33,12,
DealerAnalytics,1,1,
DealerExecutive,2,6,
DealerProjectGoods,1.75,7,
DealerViewOrders,1.67,5,
DealerViewProfile,1.29,9,
DealerViewStock,1,1,
ExampleInstrumentedTest,1,1,
ExampleUnitTest,1,1,
Login,2.33,14,
Salesman,1.64,18,
SalesmanPlaceOrders,1.12,19,
SalesmanViewPlacedOrders,1.67,5,
SalesmanViewProfile,1.29,9,
SignUp,3,9,
SubDealer,1.33,12,
SubDealerMapping,2,6,
SubDealerPlaceOrder,1.12,19,
SubDealerRetailGoods,1.75,7,
SubDealerViewOrder,1.67,5,
SubDealerViewProfile,1.29,9,
SubDealerViewStock,1,1,
,,,
Package,v(G)avg,v(G)tot,
com.example.siddhant.electrobasket,2.06,107,
,,,
Module,v(G)avg,v(G)tot,
app,2.06,107,
,,,
Project,v(G)avg,v(G)tot,
project,2.06,107,
